TF,TF_ori_cor,TF_imputed_cor,TF_ori_express,TF_imputed_express
AT5G07310,0.21057427434589773,0.3412585231701869,0.8709300081741329,0.7578438881553129
AT5G13790,0.15953967037853906,0.2991275788256158,0.6612761723206559,0.5669625749848812
AT1G51220,0.1659060698675111,0.3016479239286842,0.9837880720062784,0.8497701168558554
AT5G01380,0.16965273292387226,0.3110279699823264,1.1847525531563958,1.086419524489395
AT1G24250,0.15654651206794307,0.2892384363881937,0.7591816457552142,0.6512845049361843
AT1G43160,0.2017635483185116,0.33784146761486217,0.8729089686037304,0.7479975926232083
AT5G64750,0.20797536139490685,0.34217856122623647,0.8821089889081405,0.7699365845194728
AT1G34190,0.1082639833345557,0.2288922461732873,1.1062670683927815,1.0024406079215928
AT5G19790,0.21046380024475314,0.341850762695178,0.972281290213302,0.8818408555650342
AT5G05790,0.15605145972373427,0.2875900196813693,1.227294489071236,1.1173292009859739
AT4G04890,0.16419115417242447,0.2986705486955977,1.04157367469007,0.9208546058262882
AT1G79180,0.16214039380024997,0.2703941759880392,1.477118441877324,1.446848483706931
AT2G03340,0.1658276001950479,0.29295505385182097,1.0687738137302727,0.9550388367862768
AT1G08010,0.338312122392075,0.49131815744717894,2.600088550084533,2.476569181579496
AT5G11510,0.1609524283321499,0.2872922788118897,1.258759628858277,1.2018234112923105
AT3G30210,0.15512655627842098,0.2788584511720172,0.9191105657782516,0.8063518654698723
AT5G66300,0.1126013273247,0.2246044773538419,1.0170657589050067,0.8988586568837257
AT1G12610,0.16701304970437778,0.29172754264941675,1.1311251870655412,1.0249249734072092
AT1G72740,0.29795211011965694,0.4658684527902881,3.0896447004168097,2.667334524740158
AT3G15170,0.11091216650425165,0.2300534972071118,1.0922301175630702,0.9942714394536957
AT2G30590,0.16046566652731603,0.2975697132805608,0.9799347034419591,0.8537206714866823
AT2G01940,0.1364309552941713,0.26167352994279497,0.8615866707428921,0.7799272358774315
AT5G51190,0.2377220549003802,0.3664744085171717,1.1789449041616036,1.0447323992268873
AT1G72010,0.16431553002595695,0.2980969033891239,1.120802283117579,1.08126343577276
AT2G06200,0.1731364960310111,0.3048305335710021,0.9984418713985136,0.9152364553280805
AT5G07680,0.11807441266699839,0.23445167917690485,0.8289530519344765,0.7352871997627989
AT3G17730,0.09536241446002496,0.2014247537678328,1.0584572040522453,0.9656401244547862
AT3G11440,0.14431683597910983,0.26560519163286406,0.7748189906437095,0.6661179196197102
AT1G06180,0.16787592253561626,0.28589319266649943,1.0471466050174765,0.9789050021640336
AT2G23340,0.20010514077799774,0.321052063586019,1.290114700219861,1.1680921336542465
AT3G06490,0.15788056319156346,0.2865540127949252,0.9483420797936964,0.8324691418647886
AT1G20980,0.14434553546908022,0.2724881270060272,0.8391836052123426,0.7523228997640492
